Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W113126092431802,1.0,A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.545,92.74583,2021.0,7.74,349.0,0,183.0,25.0,1,1,,175.0,34.0,22.0,10.0,0.0,0.84,,206.0,4.8
W113616092411001,2.0,A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.6025,92.73,2021.0,7.53,660.0,0,262.0,82.0,5,1,,250.0,52.0,29.0,51.0,1.0,0.28,,381.0,6.4
W113640092443301,3.0,A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021.0,7.5,270.0,0,116.0,35.0,1,0,,125.0,4.0,28.0,10.0,1.0,0.46,,151.0,BDL
W114421092422801,4.0,A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.7325,92.70861,2021.0,7.6,311.0,0,159.0,39.0,2,0,,135.0,26.0,17.0,15.0,2.0,0.37,,198.0,0.4
W113955092391801,5.0,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021.0,7.82,2501.0,0,512.0,560.0,56,5,,465.0,56.0,79.0,336.0,18.0,0.95,,1424.0,BDL
W113137092432201,6.0,A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021.0,7.71,264.0,0,153.0,35.0,1,1,,130.0,26.0,16.0,15.0,0.0,0.57,,188.0,3.4
W113227092433001,7.0,A&N Islands,South Andaman,PORT BLAIR,Calicut,11.6075,92.72556,2021.0,7.79,535.0,0,323.0,28.0,1,1,,245.0,38.0,36.0,19.0,0.0,0.41,,321.0,0.1
W114348092404801,8.0,A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021.0,7.78,440.0,0,226.0,39.0,1,1,,190.0,36.0,24.0,22.0,2.0,0.69,,264.0,0.8
W123020092544201,9.0,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021.0,7.92,592.0,0,317.0,35.0,1,0,,265.0,34.0,44.0,15.0,2.0,0.32,,325.0,2.3
W123014092513301,10.0,A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021.0,7.78,456.0,0,226.0,21.0,5,2,,205.0,38.0,27.0,14.0,7.0,0.6,,251.0,0.3
W123129092581301,11.0,A&N Islands,N&M Andaman,MAYABUNDER,Nimbutala,12.49444,92.95417,2021.0,7.78,531.0,0,323.0,25.0,2,1,,245.0,36.0,38.0,14.0,1.0,0.68,,314.0,0.9
W123030092573801,12.0,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021.0,7.29,506.0,0,275.0,32.0,0,0,,215.0,32.0,33.0,14.0,1.0,0.66,,280.0,BDL
W124940092512801,13.0,A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021.0,7.75,431.0,0,220.0,25.0,1,1,,195.0,20.0,35.0,18.0,1.0,0.4,,234.0,1.1
W113427092395101,14.0,A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021.0,7.22,147.0,0,49.0,25.0,0,0,,50.0,16.0,2.0,9.0,1.0,0.37,,84.0,0.5
W121001092455601,15.0,A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021.0,7.83,548.0,0,293.0,28.0,1,1,,200.0,26.0,33.0,35.0,1.0,0.49,,303.0,0.5
W121858092472001,16.0,A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79,2021.0,7.59,253.0,0,122.0,28.0,1,1,,110.0,22.0,13.0,11.0,2.0,0.47,,153.0,0.5
W122041092464401,17.0,A&N Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021.0,7.9,626.0,0,342.0,28.0,1,1,,240.0,26.0,43.0,48.0,1.0,0.38,,356.0,0.1
W122009092455601,18.0,A&N Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021.0,7.7,349.0,0,189.0,25.0,1,1,,150.0,22.0,23.0,16.0,3.0,0.7,,206.0,0.1
W122724092462501,19.0,A&N Islands,N&M Andaman,RONGET,Tikadera,12.52278,92.81389,2021.0,7.38,186.0,0,92.0,21.0,0,1,,80.0,22.0,6.0,9.0,2.0,0.48,,117.0,0.2
W125604092513601,20.0,A&N Islands,N&M Andaman,MAYABUNDER,Mohanpur,12.95417,92.83556,2021.0,7.61,579.0,0,238.0,60.0,6,8,,195.0,36.0,26.0,50.0,7.0,0.34,,338.0,BDL
W251045079470001,21.0,A&N Islands,N&M Andaman,KABRAI,Srinagar,13.13944,92.86806,2021.0,7.38,387.0,0,195.0,21.0,2,1,,115.0,32.0,9.0,44.0,3.0,0.31,,231.0,BDL
W131024092555501,22.0,A&N Islands,N&M Andaman,DIGLIPUR,Nabagram,13.15472,92.94833,2021.0,7.31,278.0,0,177.0,21.0,1,3,,145.0,14.0,27.0,9.0,1.0,0.43,,185.0,0.8
